file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,scenario,ID
A547.xlsx,0.015015632713509955,0.03398604671532628,0.026851486521926576,0.040839532020966,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A577.xlsx,0.08809839943116687,0.05788787304824662,0.06239335012370316,0.05119300162681782,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A582.xlsx,0.05930046976632138,0.07706509410893907,0.06803307654285275,0.08135025250349112,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A600.xlsx,0.043756490134994774,0.04890532690322366,0.036422776603484974,0.05194292854530139,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A1085.xlsx,0.09392408937863479,0.06448650977289327,0.06994392433569994,0.05730122007517027,Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,
A1086.xlsx,0.052757405966731105,0.023806446556484277,0.03027185141889127,0.019878299555402466,Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,
A1088.xlsx,0.043118060449082944,0.0354336872114755,0.03192868260535684,0.03412718467543308,Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,
A1096.xlsx,0.04470938897168413,0.021577018821684762,0.0296702552525502,0.018630902449908702,Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,
A1106.xlsx,0.08399153471146215,0.0601243346778117,0.061173217819104696,0.05488894165868469,Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,
A1108.xlsx,0.028503503503503464,0.013899757418860672,0.011346988407721359,0.016501736537927154,Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,
A1116.xlsx,0.03897307054770153,0.06611238671499757,0.05782450155905637,0.0724462903903946,Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,
A1117.xlsx,0.07228514323784144,0.041008266610022874,0.04550845826972288,0.035085709108365164,Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,
